vowel,stress,word,F1,F2,F3,obs_ID
AY,1,I,669.7,1527,2286.9,1
AE,1,AM,656.5,1753.4,2908.1,2
AH,1,UM,617.2,1330.5,2424.9,3
AO,1,PORTLAND,503.3,910.8,2385.4,4
AH,0,JUST,455.3,1634.3,2686.4,5
AH,1,UH,579.3,1588.3,2804.5,6
AY,1,LIKE,569.8,1500.2,2787.6,7
AW,2,SOUTHWEST,695,1467.7,2453.6,8
EH,1,SOUTHWEST,570.7,1482.7,2506.9,9
IY,1,BEAVERTON,387.3,2055,2433.9,10
ER,0,BEAVERTON,471,1630.5,2042.3,11
AH,0,BEAVERTON,517.2,1803.1,2569.9,12
EH,1,EVERYWHERE,583.5,1741.4,2713.8,13
AE,1,YEAH,567.8,1747.3,2751.4,14
AH,1,UM,608.5,1221.4,1768.4,15
AE,1,YEAH,707.7,1942,4075.6,16
OW,1,NO,553.9,1706,2445.2,17
AH,0,IT,528.8,1677.9,2647.3,18
IH,1,IT,501.6,2079.2,3959.7,19
AW,1,SOUND,699,1585.4,2760.2,20
AY,1,LIKE,662.8,1527,3295.6,21
OW,1,SO,545.6,1566.2,2587.2,22
IY,1,PEOPLE,375.2,2315.5,3537.1,23
AE,1,ASK,733.7,1896,3403,24
OW,1,KNOW,591.3,1448.3,2787.4,25
AO,1,BORN,477.2,868.7,2489.9,26
IH,1,HERE,541.6,2003.2,2694.4,27
AE,1,AND,480,1913.6,NA,28
EY,1,SAY,553,1856,2631.9,29
OW,1,NO,534.6,1507.2,3255.7,30
AY,1,I'VE,575.1,1663.9,2942.4,31
IH,1,BEEN,461.4,1987,3269.5,32
IH,1,HERE,447.5,2084,2777.2,33
ER,0,FOR,492.6,1426.4,1904.2,34
AY,1,LIKE,609.6,1508,2677.1,35
EH,1,EH,502.5,1984.9,4125.4,36
AO,1,FORTY,476,865.7,2470.5,37
AO,1,FOUR,477,913.5,2538.1,38
ER,0,YEARS,480.1,1786.5,2248.5,39
AH,1,SOMETHING,583.6,1355.8,2312.7,40
AY,1,LIKE,607.6,1565.1,2765.1,41
AH,1,UH,640.1,1307.4,2669.5,42
OW,1,NO,577.8,1669,2806.3,43
AY,1,I'VE,728.4,1395.1,2385.9,44
IH,1,LIVED,463.6,1454.5,2759.6,45
EH,1,EVERYWHERE,523.4,1739.7,2461.3,46
IY,0,EVERYWHERE,463.2,1717.8,2442.7,47
EH,2,EVERYWHERE,574.4,1494.4,2173.7,48
AE,1,ACTUALLY,681.3,1515.8,2615.4,49
IY,0,ACTUALLY,586.7,2014.3,3744.6,50
AE,1,YEAH,655,1975.2,3167.2,51
AH,1,UH,650.4,1586.2,2645.1,52
AW,2,SOUTHEAST,769.3,1413.7,3840.1,53
IY,1,SOUTHEAST,396,2547.1,4375.5,54
AH,1,UM,621.1,1209,1795.4,55
AH,1,UH,671.8,1455.1,2412.6,56
EH,1,GRESHAM,551.8,1844.6,2669.5,57
AE,1,HAPPY,803.6,1633.2,2164.7,58
IY,0,HAPPY,403.9,2219.7,2811.3,59
AE,1,VALLEY,744.4,1661.3,3416.1,60
IY,0,VALLEY,468.6,2225.6,3699.2,61
AY,1,LIKE,632.2,1559.7,2453.4,62
IY,1,BEAVERTON,365.5,2245.7,2919,63
ER,0,BEAVERTON,477,1767.8,2258.2,64
AH,0,BEAVERTON,510.6,1708,4067.2,65
AY,1,I,742.7,1727.8,2327.2,66
AY,1,I,768.4,1694.2,2442.9,67
IY,1,BEAVERTON,370.8,2144.3,2758.6,68
AY,1,HIGH,709.1,1789.7,2585.2,69
UW,1,SCHOOL,452.6,883.7,2546.2,70
AH,1,UM,589.6,1278.1,1812.9,71
AY,1,I,754.4,1464.3,2396,72
OW,0,ALSO,467.4,1194.7,2576.1,73
IH,1,RIVERDALE,484.3,1580.4,2137.4,74
ER,0,RIVERDALE,430.3,1583.8,1894.8,75
EY,2,RIVERDALE,590.8,1618.6,2552.7,76
AY,1,HIGH,756.7,1570.8,2571,77
UW,1,SCHOOL,445,834,2456,78
