vowel,stress,word,F1,F2,F3,obs_ID
AA,1,ON,510.4,1094.2,2191.5,201
IY,0,THE,404,2480.7,3501.8,202
IY,1,EAST,382.1,2538.1,4252.1,203
AY,1,SIDE,672.7,1598.6,2555.5,204
AH,1,BUT,488.6,1301.3,2568.5,205
IH,1,IF,435.4,1950,2778.5,206
IH,1,GET,457,2211.5,4038.3,207
AH,1,UP,583.4,1698,3309.1,208
UW,1,INTO,427.4,1917.5,2606.5,209
AY,1,LIKE,674.9,1546.2,2446.1,210
AA,1,FARTHER,664.5,1074.8,2758,211
ER,0,FARTHER,498.9,1790.5,3951.1,212
IY,1,EAST,364.8,2446.6,3882.9,213
AH,1,UP,611.4,1314.4,2705.5,214
AA,1,ON,617.9,1054.4,1864.2,215
AY,1,LIKE,632,1578.8,2874.8,216
AH,1,STUFF,598.3,1397.2,2618.6,217
EH,1,THEN,603.3,1669.2,2475.1,218
IH,1,GET,494.7,2190.9,4051.1,219
AY,1,PRIVACY,671.5,1607.9,2300.6,220
IY,0,PRIVACY,411.9,2392.5,4236.9,221
AH,1,BUT,576.7,1555.3,2460.7,222
IH,1,STILL,501,1548.5,2606.3,223
AA,1,NOT,677.4,1266.8,1601.7,224
AY,1,LIKE,655.2,1461,2593.9,225
AY,1,PRIVACY,706.5,1472,2192.4,226
IY,0,PRIVACY,357.4,2028.4,2772.2,227
UW,1,YOU,412.5,2156.9,2656.8,228
IH,1,GET,478.4,2166.9,NA,229
IH,1,IN,484.9,2018,2867.6,230
AH,0,THE,513.6,1303.6,2631.2,231
EH,1,WEST,631.2,1652.6,2658.4,232
IH,1,HILLS,528.1,1521.7,2638,233
AE,1,YEAH,681.4,1838,2526.5,234
OW,1,SO,553.7,1407.2,2530,235
UW,1,YOU,351.3,2104.9,2576.1,236
IH,1,GET,435.3,2171.6,2652.8,237
AH,0,AS,479.2,1867.2,3256.9,238
AY,1,PRIVACY,690.8,1626.9,2472,239
IY,0,PRIVACY,363.7,2424.8,3849.5,240
AE,1,AS,511.6,1931.6,2670.3,241
UH,1,WOULD,507.2,1628.5,2489.1,242
AA,1,ON,607.1,1085.5,1555.2,243
AY,1,QUIET,725.3,1470.2,2212.2,244
AH,0,QUIET,511.4,1756.8,2544,245
EH,1,SQUARE,547.5,1767.5,2347.5,246
IY,1,STREET,398.7,2052.4,2684.1,247
AE,1,THAT'S,541.5,1837.5,NA,248
AE,1,THAT'S,594.4,1730.8,3540.6,249
AW,1,ABOUT,635.5,1416.1,2559.2,250
AO,1,ALL,713.3,1377,2443.5,251
AH,0,YOU,611.7,1760.5,2440.9,252
EH,1,GET,533.1,1912.5,2538.9,253
AY,1,I,654.2,1554.2,2654.3,254
IY,1,MEAN,399.5,2095.4,2800.6,255
IH,1,GET,457.1,1985.7,2477.4,256
IY,1,PEOPLE,341.9,2374.3,2661.3,257
AY,1,RIDING,691.4,1790.8,2979.5,258
AY,1,BIKES,705.6,1619.6,2287.9,259
UW,1,THROUGH,417.6,1774.2,2528.9,260
AH,1,UM,597.4,1283.8,1813.2,261
AH,0,YOU,590,1592.6,2113.9,262
OW,1,KNOW,577.8,1395.5,2662.7,263
UW,1,YOU'LL,472.8,1350.5,2707.2,264
AE,1,YEAH,628.7,2059.5,NA,265
AE,1,ACTUALLY,739,1660.6,2504.9,266
AA,1,NOT,660.7,1539.1,2189.1,267
IY,1,EVEN,504.9,2093.4,4034,268
AO,2,NORTHEAST,549.9,1160.7,2020.7,269
IY,1,NORTHEAST,399.8,2467.7,NA,270
AH,1,UM,607.8,1253.7,1530.2,271
AH,0,IT'S,509.2,1927,3010.4,272
OW,1,OK,514.8,1472.4,2623.2,273
EY,1,OK,560,1966.6,2659.6,274
IH,1,IT'S,503.7,1991.1,2842,275
AH,1,UH,640.1,1555.7,2418.4,276
AY,1,I,743.9,1415.8,2016.7,277
IY,1,MEAN,514.5,2167.1,3411.1,278
AY,1,I,672.9,1719.9,2359.4,279
EH,1,GUESS,566.4,1874.5,2472.9,280
AY,1,I,597,1450.3,2329.9,281
AA,1,WANNA,580.4,1200.8,1864.4,282
AH,0,WANNA,559.2,1731.9,3420.4,283
EY,1,SAY,586.3,1374.3,2695,284
AY,1,LIKE,718.2,1227.3,2447.5,285
EH,1,GHETTO,544.6,2198.1,3785.3,286
OW,0,GHETTO,552.6,1627.9,2662.7,287
AH,1,UM,579.7,1208.9,1834.9,288
AH,0,A,516,1089.4,2413.3,289
AA,1,LOT,690.5,1233.6,2163.2,290
AH,0,OF,536.4,1511.6,2571.4,291
AY,1,CRIME,754.9,1428.9,2185,292
IY,1,SEE,366.9,2421.2,4050.1,293
AH,0,THE,466.8,1461.2,2820.8,294
AY,1,TIME,713.1,1583.7,2116.1,295
AE,1,YEAH,654.4,1782.9,2568,296
